audio_vocals_0012_kCXD4rV.wav|dfvdsfv|speaker_01
audio_vocals_0017_WAWhCMY.wav|dfvdvddfvv|speaker_01
audio_vocals_0019_pSFBXEI.wav|vdfvdfvdf|speaker_01
audio_vocals_0021.wav|vdfvdfv|speaker_01
audio_vocals_0022_5WG3Ln6.wav|ergwerg|speaker_01
audio_vocals_0024_pf3T1uq.wav| fdvefvefv|speaker_01
audio_vocals_0025.wav|tyerb|speaker_01
audio_vocals_0052_uiFV1MY.wav|Tastay túnek. Hesh nárse kózge túse qoymaydı. Tek bolǵanı joldıń shetindegi bir túp buta kózine tústi.|speaker_01
audio_vocals_0055_aDcJfsx.wav|Qarsı qazǵan boz topıraǵı, qarsı jawın menen iylenip, balshıqqa aylandı.|speaker_01
audio_vocals_0056_5RfClV4.wav|Ál yeni waqta qıyal oshaqtıń ornında jerdi qazıp boldı. Qaptaǵı arqalap kiyatırǵan nárselerin astına saldı. Eki balasını qoltıǵına qısıp, ústine góne kórpesin jamılıp, búksheyip ǵana otırdı.|speaker_01
audio_vocals_0057_015u6Wq.wav|asdvsdv|speaker_01
audio_vocals_0058_ILbCLTN.wav|vdzfvzdsfv|speaker_01
audio_vocals_0060.wav|vafdsvsv|speaker_01
